rank,phrase,quote_id,avatar,charge,slot,desire,angle,tag,owned,corpus,tier
20,"I work a full time job as well, so am only able to attend to my store after hours",Q-F-0015,AV-04,5,hook,MD-01,AN-09,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
21,I don't wanna be trained to do it. I wanna just put the money forward.,Q-O-0056,AV-04,5,subhead,MD-02,AN-12,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
22,I wish I was doing something else,Q-O-0096,AV-04,5,story,MD-01,AN-11,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
23,"I earn good money now, so I don't want to quit and then start struggling.",Q-O-0133,AV-04,5,hook,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
24,I must have three or four Shopify stores just sitting there,Q-O-0103,AV-07,5,hook,MD-02,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
25,I'm running $50 ad sets. I'm targeting different interests. Still no sales.,Q-F-0019,AV-01,4,story,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
26,"After 10 days of campaign, still no orders.",Q-F-0021,AV-01,4,hook,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
27,I am growing tired of looking at all the traffic and no sales,Q-F-0022,AV-01,4,subhead,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
28,not a single sale. Why is this?,Q-Q-0001,AV-01,4,hook,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-SNIPPET]
29,i've already lost 500 drop shipping,Q-Y-0013,AV-01,4,hook,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
30,make it seem like easy money when it's really not,Q-Y-0016,AV-01,4,hate-doubt,MD-01,AN-07,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
31,"the strategy was dead, and no one told me",Q-Y-0018,AV-01,4,subhead,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
32,"there's plenty of us losing, including myself",Q-Y-0027,AV-01,4,story,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
33,I spent thousands of dollars and hundreds of hours of my own time,Q-Y-0029,AV-01,4,story,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
34,I've been burned many times,Q-Y-0030,AV-01,4,hate-doubt,MD-01,AN-07,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
35,it didn't sell one product not one product,Q-Y-0046,AV-01,4,hook,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
36,"promises of more templates, ads, products etc. after you have paid",Q-B-0001,AV-02,4,hate-doubt,MD-01,AN-14,[MKT-LANG],N,MARKET_VOC,[R-SNIPPET]
37,I would just link into the store once it is finished,Q-F-0005,AV-02,4,cta,MD-04,AN-14,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
38,I felt like it was a scam,Q-O-0073,AV-02,4,hate-doubt,MD-01,AN-13,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
39,over a thousand dollars sitting in my account,Q-O-0074,AV-02,4,story,MD-01,AN-15,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
40,"my store didn't even make $20, so I had to come out",Q-O-0101,AV-02,4,story,MD-04,AN-14,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
41,go do a Google review of your company and see,Q-O-0102,AV-02,4,proof,MD-01,AN-14,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
42,I got scammed by the marketing guy.,Q-O-0130,AV-02,4,story,MD-01,AN-13,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
43,I need a proof of concept that actually works.,Q-O-0132,AV-02,4,proof,MD-04,AN-14,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
44,"you know, the pitch is almost always the same",Q-Y-0004,AV-02,4,hate-doubt,MD-01,AN-14,[MKT-LANG],N,MARKET_VOC,[R-PAGE]
45,this coach never even scheduled a call with me,Q-Y-0019,AV-02,4,story,MD-04,AN-13,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
46,but nothing that actually helps me!,Q-F-0006,AV-03,4,hook,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
47,It's intensely time consuming and aggravating.,Q-F-0012,AV-03,4,body,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
48,Just performing one task is a marathon of reading.,Q-F-0013,AV-03,4,story,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
49,No wonder people give up,Q-F-0014,AV-03,4,body,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
50,I had someone build a shopify store for me because I wanted to get started quickly,Q-F-0018,AV-03,4,story,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
51,I don't know where to start or what I should sell,Q-F-0040,AV-03,4,hook,MD-04,AN-18,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
52,Do I just choose what I want to sell,Q-F-0041,AV-03,4,hook,MD-04,AN-17,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
53,I hired and expert and he did a good job but then it still wasn't making sales,Q-F-8303,AV-03,4,subhead,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
54,It won't let me get on live at all,Q-O-0014,AV-03,4,hook,MD-04,AN-16,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
55,build a a income that I can sit back and relax,Q-O-0015,AV-03,4,cta,MD-02,AN-18,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
56,At what point do I take over the store? Is it something I have to run on my own?,Q-O-0169,AV-03,4,subhead,MD-02,AN-16,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
57,"After weeks of overthinking, I finally committed",Q-Y-0053,AV-03,4,cta,MD-04,AN-17,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
58,if it's gonna take fourteen days how can i take back your money in seven,Q-O-0030,AV-04,4,hate-doubt,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
59,I want a stable income flow,Q-O-0046,AV-04,4,cta,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
60,anytime that I know that I'm ready ... I'll get back to you,Q-O-0052,AV-04,4,hate-doubt,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
61,Can I review full contract before making payment?,Q-O-0116,AV-04,4,proof,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
62,I want to make sure this one is working before I talk of quitting.,Q-O-0133,AV-04,4,body,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
63,The one thing I don't have in my life is time.,Q-O-0143,AV-04,4,hook,MD-02,AN-12,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
64,To make 100% of my salary and above from it.,Q-O-0176,AV-04,4,story,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
65,You guys can fully automate my online business,Q-O-0001,AV-07,4,subhead,MD-02,AN-03,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
66,"I would not pay $2,500 to anybody unless I could see some results",Q-O-0006,AV-07,4,hate-doubt,MD-01,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
67,I pay $500 and then I'm gonna have to pay more money down the road,Q-O-0028,AV-07,4,hate-doubt,MD-01,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
68,"I'm actually thinking to, you know, replace my job",Q-O-0053,AV-07,4,story,MD-01,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
69,I had one before. I just ended it because I was dealing with a lot,Q-O-0097,AV-07,4,story,MD-04,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
70,"ready to be loaded, and I haven't done anything with them in years",Q-O-0103,AV-07,4,story,MD-02,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
71,"at an exorbitant cost, $5,000, $20,000, $15,000",Q-O-0104,AV-07,4,subhead,MD-01,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
72,"I'm like, seriously? Come on.",Q-O-0104,AV-07,4,hate-doubt,MD-01,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
73,"the marketing was the one bringing in the money, but it's slowed down so much",Q-O-0124,AV-07,4,story,MD-01,AN-03,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
74,no one had bought anything,Q-F-0024,AV-01,3,body,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
75,I'm looking for a steady income,Q-O-0109,AV-01,3,cta,MD-01,AN-05,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
76,Is that one-off payment or I need to make a regular payment?,Q-O-0112,AV-01,3,hate-doubt,MD-01,AN-07,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
77,i failed the challenge,Q-Y-0015,AV-01,3,story,MD-04,AN-08,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
78,it isn't all sunshine and rainbows,Q-Y-0025,AV-01,3,hate-doubt,MD-01,AN-07,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
79,you could have nine failed stores,Q-Y-0026,AV-01,3,proof,MD-04,AN-08,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
80,a lot of them fake the reviews,Q-Y-0032,AV-01,3,hate-doubt,MD-01,AN-07,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
81,it took me over a year straight of failing consistently,Q-Y-0034,AV-01,3,story,MD-04,AN-08,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
82,it takes years to find a winning product,Q-Y-0064,AV-01,3,hate-doubt,MD-04,AN-08,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
83,"I need to, you know, get my money together",Q-O-0063,AV-02,3,hate-doubt,MD-01,AN-15,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
84,I assume that the followers are fake,Q-Y-0005,AV-02,3,hate-doubt,MD-01,AN-14,[MKT-LANG],N,MARKET_VOC,[R-PAGE]
85,a clever Shopify affiliate funnel with a big upsell,Q-Y-0009,AV-02,3,hate-doubt,MD-01,AN-15,[MKT-LANG],N,MARKET_VOC,[R-PAGE]
86,"numerous chats, bots, and emails only wastes time",Q-F-0011,AV-03,3,hate-doubt,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
87,I set up a shop but was too hard for me,Q-F-8301,AV-03,3,story,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
88,I would like to get in touch with y'all when I'm more prepared,Q-O-0026,AV-03,3,hate-doubt,MD-04,AN-18,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
89,hire an agency to do the store for you to do the ads for you,Q-Y-0035,AV-03,3,subhead,MD-02,AN-16,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
90,why would someone buy from a new shop,Q-Y-0054,AV-03,3,hate-doubt,MD-04,AN-17,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
91,constantly jumping from one idea to another,Q-Y-0059,AV-03,3,story,MD-04,AN-17,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
92,Time intensive early on (i work a full time job right now),Q-F-0016,AV-04,3,subhead,MD-01,AN-09,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
93,trying to scale my business while keeping my full-time job,Q-F-0017,AV-04,3,hook,MD-01,AN-09,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
94,I don't have the time to do the due diligence,Q-O-0042,AV-04,3,body,MD-02,AN-12,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
95,I'm just worried about the total cost,Q-O-0048,AV-04,3,hate-doubt,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
96,"I've not been able to figure out like, what's gonna be the best platform",Q-O-0049,AV-04,3,story,MD-04,AN-09,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
97,send me something to make me understand that you are legitimate,Q-O-0055,AV-04,3,hate-doubt,MD-01,AN-10,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
98,Should I hire a developer,Q-F-9006,AV-07,3,subhead,MD-02,AN-02,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
99,"I simply can't compete with the likes of H&B, Amazon etc.",Q-F-9008,AV-07,3,hate-doubt,MD-04,AN-01,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
100,I thought this call was gonna just show me exactly what the $500 pays for,Q-O-0002,AV-07,3,proof,MD-01,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
101,I invested a lot of my money into buying this business,Q-O-0004,AV-07,3,story,MD-01,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
102,we don't have the budget to be able to do a lot of ads,Q-O-0005,AV-07,3,subhead,MD-02,AN-03,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
103,how fast do I start making a return on my investment,Q-O-0027,AV-07,3,hate-doubt,MD-01,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
104,"I'll start with the 500, and then I'll hopefully graduate to the next level",Q-O-0029,AV-07,3,cta,MD-04,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
105,I just wanna go through with it,Q-O-0054,AV-07,3,cta,MD-04,AN-02,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
106,turn this side hustle into a main job,Q-O-0105,AV-07,3,cta,MD-01,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
107,I'm a computer consultant and I have very little time.,Q-O-0154,AV-07,3,story,MD-02,AN-01,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
108,I definitely was not an expert so take what I say with a grain of salt,Q-Y-0039,AV-01,2,story,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
109,Call me back in two weeks,Q-O-0064,AV-02,2,hate-doubt,MD-01,AN-15,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
110,I don't need to mix the other business with my own,Q-O-0045,AV-07,2,body,MD-02,AN-03,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
