"row_type","id","text_or_poles","source","population_id","rung","surface_or_deep","md_id","cut_kind","corpus","label","strict_label","class","research_priority","authors_M","authors_O","authors_PT","authors_T","threads_T","units_T","obs_T","emotion_n","fear_n","blocks_desire_n","problem_proxy_n","scene_n","trigger_n","seeker_n","heat_n","persistent_span","source_types_n","contexts_n","conditions_met","magnitude_band","heat_band","advertiser_vd","advertiser_label","networks_above_floor","lf8_roots","product_leverage","confidence"
"DS","DS-11","[D] I was gonna buy an electric bike with this money. I hope this happens for me","Q-O-0037","CP-01","emotional_payoff","DEEP","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-12","[D] I work a full time job as well — store only after hours","Q-F-0015","CP-01","problem","SURFACE","MD-01","scene → IB","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-13","""build a a income that I can sit back and relax""","Q-O-0015","CP-05","mass_desire","DEEP","MD-02","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-14","[D] fully outsource my whole store … sit back, print profit and relax","Q-Y-0007","CP-05","mass_desire","DEEP","MD-02","","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-15","""Visibility and the fact that it works twenty four seven.""","Q-O-0162","NULL","functional_outcome","SURFACE","MD-02","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-16","[D] pay a Shopify expert … let that easy money start coming","Q-Y-0001","CP-05","broader_outcome","SURFACE","MD-02","","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-17","""I don't wanna be trained to do it""","Q-O-0056","CP-01","immediate_result","SURFACE","MD-02","criterion → 11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-18","""You guys can fully automate my online business""","Q-O-0001","CP-04","immediate_result","SURFACE","MD-02","product result","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-19","[D] your store. Built. Managed.","Q-O-0120","CP-02","immediate_result","SURFACE","MD-02","product result","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-20","""I would just link into the store once it is finished""","Q-F-0005","CP-05","immediate_result","SURFACE","MD-02","product result","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-21","[D] My e-commerce business dream started and continues to grow (REPORTED OUTCOME)","Q-E-0001","CP-05","broader_outcome","SURFACE","MD-04","product result","PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-22","[D] making sales without worrying about inventory or fulfillment (REPORTED OUTCOME)","Q-E-0002","CP-05","functional_outcome","SURFACE","MD-02","product result","PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-23","""I focus on scaling while they handle the backend""","Q-E-0003","CP-05","functional_outcome","SURFACE","MD-02","product result","PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-24","""I just watch my sales grow every month""","Q-E-0004","CP-05","broader_outcome","SURFACE","MD-02","product result","PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-25","[D] I earn passive income without managing daily operations (REPORTED OUTCOME)","Q-E-0005","CP-05","broader_outcome","SURFACE","MD-02","product result","PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-26","[D] he used to say, man, cherish this time (father who gave him money)","Q-O-0041","CP-06","emotional_payoff","DEEP","MD-03","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-27","[D] I'm regretting now because if I had started then (2016)","Q-O-0152","NULL","emotional_payoff","DEEP","MD-04","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-28","""So many years I've been thinking about it, but I never had time.""","Q-O-0160","CP-02","mass_desire","DEEP","MD-04","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-29","""I will like to make a online shop""","Q-O-0024","CP-05","immediate_result","SURFACE","MD-04","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-30","""I will start at least three to four businesses""","Q-O-0087","CP-02","broader_outcome","SURFACE","MD-04","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-31","[D] I had someone build a store because I wanted to get started quickly","Q-F-0018","CP-01|CP-05","immediate_result","SURFACE","MD-04","means","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-32","[D] creating a successful e-commerce store within the next 30 days","Q-Y-0040","CP-03","broader_outcome","SURFACE","MD-04","","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-33","""there's plenty of us losing, including myself""","Q-Y-0027","CP-03","emotional_payoff","DEEP","MD-04","feeling","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-34","""I made so many mistakes in this video""","Q-Y-0038","CP-03","emotional_payoff","DEEP","MD-04","feeling","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-35","""No wonder people give up""","Q-F-0014","NULL","problem","SURFACE","MD-04","feeling","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-36","""don't get too stuck up on failure""","Q-Y-0050","CP-03","problem","SURFACE","MD-04","belief","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-37","""I don't need to invent something completely new""","Q-Y-0056","CP-05","problem","SURFACE","MD-04","belief","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-38","[D] it takes years to find a winning product … never give up","Q-Y-0064","NULL","problem","SURFACE","MD-04","belief","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-39","[D] product idea: skin/dark-spot/stretch-mark items to sell","Q-O-0044","CP-04","problem","SURFACE","MD-04","means","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-40","[D] product idea: African food / Nigerian honey","Q-O-0123","NULL","problem","SURFACE","MD-04","means","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-41","""I want to at least get to a million or a billion""","Q-O-0058","CP-02","mass_desire","DEEP","MD-05","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-42","""Could I get up to at least $10,000 a month in three months""","Q-O-0008","CP-01","broader_outcome","SURFACE","MD-05","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-43","""would I at least have $50,000 worth of money""","Q-O-0009","CP-01","broader_outcome","SURFACE","MD-05","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-44","[D] I'd want to be selling five to twelve thousand units","Q-O-0115","NULL","broader_outcome","SURFACE","MD-05","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-45","[D] I would like to do e-commerce — my best friend has three warehouses","Q-O-0137","NULL","mass_desire","DEEP","MD-05","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-46","""what kind of money are we talking about""","Q-O-0107","CP-03","functional_outcome","SURFACE","MD-05","criterion → 11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-47","[D] how fast do I start making a return on my investment","Q-O-0027","CP-04","functional_outcome","SURFACE","MD-05","criterion → 11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-48","[D] I'm retired now … I need some retirement money, to live","Q-O-0121","CP-06","mass_desire","DEEP","MD-06","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-49","""I've just taken a retirement, so I want to focus on doing it well.""","Q-O-0141","CP-06","mass_desire","DEEP","MD-06","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-50","[D] I've got money to sustain me (NHS) … I want to set up a business","Q-O-0142","NULL","broader_outcome","SURFACE","MD-06","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-51","""I'm a retired man. And I want to spend some time""","Q-O-0095","CP-06","mass_desire","DEEP","MD-06","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-52","""I was afraid to ever try again, but eventually I did""","Q-B-0004","CP-03","emotional_payoff","DEEP","MD-07","","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-53","""so you can watch me either make money or lose money""","Q-Y-0010","CP-05","problem","SURFACE","MD-07","feeling","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-54","""I'm kind of like a six out of ten, I'd say at this stage.""","Q-O-0114","CP-05","problem","SURFACE","MD-07","belief","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-55","[D] my store was nearly about 10,000 pounds (before paying to open)","Q-O-0127","CP-03","problem","SURFACE","MD-07","product result","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-56","""to see if it's worth paying someone on Fiverr""","Q-Y-0003","CP-05","problem","SURFACE","MD-07","criterion → 11","M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-57","quit the 9-to-5","IM-09","CP-01|CP-05","mass_desire","DEEP","MD-01","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-58","make more money than my job pays, without inventing my own product","IM-03","CP-01|CP-03","broader_outcome","SURFACE","MD-01","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-59","a new monthly income stream","IM-21","CP-06","broader_outcome","SURFACE","MD-01","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-60","income at any age","IM-13","CP-06","broader_outcome","SURFACE","MD-06","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-61","[D] Create a New Source of Cash Flow So That You Can Retire With Peace Of Mind","IM-19","CP-06","mass_desire","DEEP","MD-06","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-62","[D] fund your vacation, kids college fund, or early retirement (desire_wording_used)","IM-20","CP-02|CP-06","broader_outcome","SURFACE","MD-03","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-63","[D] a better place to put your money (desire_wording_used)","IM-22","CP-06","functional_outcome","SURFACE","MD-02","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-64","[D] provide for my family with just a laptop (title: ""a Family to Fight For"")","IM-15","CP-01|CP-02","mass_desire","DEEP","MD-03","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-65","I want to be on the collecting side … not the paying side","IM-25","CP-01|CP-02","mass_desire","DEEP","MD-05","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-66","I want to finally start the business I've been putting off","IM-27","CP-01|CP-05","mass_desire","DEEP","MD-04","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-67","[D] finally launch instead of just researching (laddered)","IM-30","CP-05","broader_outcome","SURFACE","MD-04","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-68","[D] prove to myself I'm not all talk (laddered)","IM-32","CP-01|CP-05","emotional_payoff","DEEP","MD-04","","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-69","[D] prove to myself this isn't a scam before I commit (laddered)","IM-31","CP-03|CP-05","problem","SURFACE","MD-07","belief","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-70","I want a real, branded store - not more theory - ready to sell fast","IM-23","CP-03|CP-05","immediate_result","SURFACE","MD-04","product result","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-71","[D] same as IM-23 (Spanish variant)","IM-24","CP-03|CP-05","immediate_result","SURFACE","MD-04","product result","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-72","[D] same as IM-23","IM-26","CP-03|CP-05","immediate_result","SURFACE","MD-04","product result","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-73","freedom from needing capital/inventory/a brand","IM-10","CP-05","immediate_result","SURFACE","MD-04","criterion → 11","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-74","get into a high-return opportunity before everyone else does","IM-18","CP-06","functional_outcome","SURFACE","MD-05","belief","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-75","[OPERATOR HYPOTHESIS] provide a better future for my kids","KD-a1","CP-02","mass_desire","DEEP","MD-03","","HYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-76","[OPERATOR HYPOTHESIS] more time with my kids and my wife","KD-a2","CP-02","mass_desire","DEEP","MD-08","","HYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-77","[OPERATOR HYPOTHESIS] an online business at 50+ with money","KD-b","CP-06","broader_outcome","SURFACE","MD-06","product result","HYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-78","[01 SD] see exactly what my $500 gets me before I trust anyone again","SD-04","NULL","problem","SURFACE","MD-07","belief","HYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-79","[01 SD, rep line] something I can give my kids when they grow older","SD-05","NULL","broader_outcome","SURFACE","MD-03","","HYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MD","MD-01","feel my income is my own / no longer feel stuck in work that decides whether I'm OK","Q-O-0053 Q-O-0096 Q-O-0105 Q-O-0109 Q-O-0046 Q-O-0150 Q-O-0174 Q-O-0175 Q-O-0176 Q-O-0180 Q-O-0037 Q-O-0111 Q-O-0065 Q-O-0106 Q-O-0010 Q-O-0078 Q-O-0036 Q-O-0020 Q-O-0022 Q-O-0050 Q-O-0133 Q-F-0015 Q-F-0016 Q-F-0017 Q-Y-0040","CP-01;CP-02;CP-03;CP-04;CP-05","mass_desire","DEEP","MD-01","","M+O+PT","VALIDATED","SUPPORTED","NONE-OF-THREE","Tier 1","4","19","0","23","23","23","25","1","4","0","5","12","8","14","19","2758d","3","5","8","Very High","Very High","VD-02","SUPPORTED (SINGLE-NETWORK ITERATED NW-01)","1","1;3;5;8","Medium","Moderate"
"MD","MD-02","feel I can finally ease off / no longer feel every dollar costs me my own hours","Q-O-0015 Q-O-0162 Q-O-0056 Q-O-0001 Q-O-0120 Q-O-0154 Q-O-0090 Q-O-0169 Q-Y-0007 Q-Y-0001 Q-F-0005 Q-Y-0035 Q-E-0002 Q-E-0003 Q-E-0004 Q-E-0005","CP-01;CP-02;CP-04;CP-05","mass_desire","DEEP","MD-02","","M+O+PT","VALIDATED","SUPPORTED","CORPUS-ONLY","Tier 3","4","8","4","16","13","13","16","0","0","0","5","0","0","4","4","121d","4","4","6","Very High","Moderate","VD-03","SUPPORTED (SINGLE-NETWORK ITERATED NW-03)","0","5;3;6","Medium","Moderate"
"MD","MD-03","feel I'm providing for the people who depend on me / no longer feel I'm letting my family down","Q-O-0085 Q-O-0086 Q-O-0059 Q-O-0145 Q-O-0161 Q-O-0041 Q-O-0033 Q-O-0120 Q-O-0017 Q-O-0146 Q-O-0060 Q-O-0040 Q-O-0140","CP-01;CP-02;CP-06","mass_desire","DEEP","MD-03","","M+O+PT","EARLY SIGNAL","EARLY SIGNAL","NONE-OF-THREE","—","0","9","0","9","9","9","13","0","2","0","3","6","0","7","7","UNKNOWN","1","1","6","High","High","VD-04","EARLY SIGNAL","0","7;3;8","Low","Low"
"MD","MD-04","feel I'm someone who builds something of my own / no longer feel I'm all talk — the one who 'almost did'","Q-O-0160 Q-O-0152 Q-O-0153 Q-O-0024 Q-O-0087 Q-O-0029 Q-O-0054 Q-O-0174 Q-O-0103 Q-F-0018 Q-Y-0040 Q-Y-0053 Q-F-0014 Q-Y-0027 Q-Y-0038 Q-F-0012 Q-F-0010 Q-Y-0064 Q-Y-0028 Q-Y-0057 Q-B-0004","CP-01;CP-02;CP-03;CP-04;CP-05","mass_desire","DEEP","MD-04","","M+O+PT","VALIDATED","SUPPORTED","CORPUS-ONLY","Tier 1","10","8","0","18","16","16","21","4","1","0","9","2","4","9","11","2431d","4","6","8","Very High","Very High","VD-01","EARLY SIGNAL (≥45d ad on UNSIZED/1 NW)","0","3;6;8","High","High"
"MD","MD-05","feel I've made it like the people I watch win / no longer feel left on the paying side","Q-O-0058 Q-O-0008 Q-O-0009 Q-O-0115 Q-O-0137 Q-O-0166 Q-O-0107 Q-O-0027 Q-O-0091 Q-O-0139","CP-01;CP-02;CP-03;CP-04","mass_desire","DEEP","MD-05","","M+O+PT","EARLY SIGNAL","EARLY SIGNAL","NONE-OF-THREE","—","0","9","0","9","9","9","10","0","0","0","0","0","1","6","7","UNKNOWN","1","1","3","High","High","VD-05","EARLY SIGNAL (≥45d ad on UNSIZED/1 NW)","0","6;5","Low","Low"
"MD","MD-06","feel my later years are provided for / no longer fear running out with nothing coming in","Q-O-0121 Q-O-0141 Q-O-0142 Q-O-0095 Q-O-0007 Q-O-0069 Q-O-0070 Q-O-0072 Q-O-0083 Q-O-0084 Q-O-0181 Q-O-0152 Q-O-0076 Q-O-0149","CP-01;CP-06","mass_desire","DEEP","MD-06","","M+O+PT","EARLY SIGNAL","EARLY SIGNAL","NONE-OF-THREE","—","0","10","0","10","10","10","14","0","3","0","4","2","1","8","8","UNKNOWN","1","1","6","Very High","Very High","VD-03","SUPPORTED (SINGLE-NETWORK ITERATED NW-03)","0","5;3;1","Medium","Low"
"MD","MD-07","feel safe putting money in / no longer feel like the mark","Q-O-0062 Q-O-0011 Q-O-0073 Q-O-0074 Q-O-0128 Q-O-0148 Q-O-0032 Q-O-0006 Q-O-0132 Q-O-0012 Q-O-0100 Q-O-0130 Q-O-0147 Q-Y-0030 Q-F-0003 Q-B-0004 Q-Y-0049 Q-Y-0047 Q-Y-0014 Q-Y-0023 Q-E-0006 Q-E-0009","CP-03;CP-04;CP-05","mass_desire","DEEP","MD-07","","M+O+PT","HYPOTHESIS","HYPOTHESIS","NONE-OF-THREE","—","6","10","2","18","17","17","22","2","8","0","9","1","0","3","3","2925d","5","5","8","Very High","Moderate","NONE","NONE","0","3;6","Low","Speculative"
"MD","MD-08","feel present for the people I love / no longer feel my hours belong to everyone but them","Q-O-0143 Q-O-0167 Q-O-0017 Q-O-0078 Q-O-0160 Q-O-0111","CP-01;CP-02","mass_desire","DEEP","MD-08","","M+O+PT","EARLY SIGNAL","EARLY SIGNAL","NONE-OF-THREE","—","0","6","0","6","6","6","6","0","0","0","3","5","2","2","4","UNKNOWN","1","1","4","High","Moderate","VD-04","EARLY SIGNAL","0","7;4","Low","Speculative"
